1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.766129	0.000000	2.841083	0.025903	1182.6
1	-0.778526	0.000000	2.841083	0.027375	0.9
2	-0.761015	0.716603	2.747333	0.038546	0.8
3	-0.793092	1.716603	2.626394	0.030723	0.8
4	-0.781223	2.716602	2.515653	0.033888	0.8
5	-0.765655	3.716087	2.413923	0.034891	0.8
6	-0.781227	4.710618	2.320549	0.021747	0.8
7	-0.785952	4.490126	2.340622	0.027973	0.8
8	-0.777871	5.408778	2.259201	0.027396	0.8
9	-0.787335	6.056470	2.205119	0.020021	0.9
10	-0.778666	5.654952	2.238336	0.049361	0.8
11	-0.779209	6.654949	2.157398	0.061664	0.9
12	-0.780695	7.654949	2.082110	0.034540	0.9
13	-0.770164	8.654949	2.011898	0.024288	0.8
14	-0.742924	8.240829	2.040392	0.038557	0.8
15	-0.798526	7.773773	2.073511	0.029537	0.8
16	-0.776840	8.773773	2.003869	0.034404	1.1
17	-0.843960	8.325326	2.034512	0.030023	0.8
18	-0.773065	9.325290	1.967425	0.035974	0.8
19	-0.750047	8.874473	1.997114	0.032429	0.8
20	-0.743067	9.857666	1.933482	0.047331	0.8
21	-0.767816	10.852874	1.873072	0.039040	0.8
22	-0.772180	11.852858	1.816059	0.029654	0.8
23	-0.821187	12.852858	1.762414	0.032441	0.8
24	-0.786947	12.384648	1.787131	0.029882	0.8
25	-0.753247	11.976218	1.809266	0.032709	0.8
26	-0.782797	12.976209	1.756015	0.039333	0.8
27	-0.729713	13.583648	1.725172	0.025252	0.8
28	-0.806675	14.583647	1.676690	0.029005	0.8
29	-0.739934	14.195867	1.695163	0.045598	0.9
30	-0.758715	15.188652	1.648659	0.025200	0.9
31	-0.792578	16.188652	1.604327	0.034381	0.9
32	-0.776211	15.721039	1.624756	0.031004	0.9
33	-0.741326	16.720573	1.581703	0.042885	0.8
34	-0.789663	16.252363	1.601583	0.033545	0.9
35	-0.766310	17.251335	1.559756	0.038237	0.8
36	-0.775525	16.783125	1.579084	0.039175	0.8
37	-0.799690	17.783125	1.538369	0.028547	0.8
38	-0.753689	18.783125	1.499700	0.023862	0.8
39	-0.773570	18.314960	1.517558	0.041535	0.8
40	-0.790995	18.317229	1.517471	0.032986	0.8
41	-0.760662	19.308750	1.480144	0.026631	0.8
42	-0.792385	20.308504	1.444321	0.035601	0.8
43	-0.776437	19.841306	1.460843	0.024180	0.8
44	-0.767196	20.794512	1.427526	0.025284	0.8
45	-0.777025	20.419843	1.440439	0.045118	0.8
46	-0.776811	19.951633	1.456908	0.030361	0.8
47	-0.766726	19.483423	1.473757	0.074323	0.8
48	-0.774639	20.483423	1.438231	0.037378	0.8
49	-0.783236	21.483423	1.404377	0.025850	0.9
50	-0.778909	22.483408	1.372081	0.036943	0.9
51	-0.761968	22.190130	1.381398	0.034896	1.0
52	-0.812977	22.076929	1.385028	0.028107	0.8
53	-0.785171	21.610551	1.400187	0.044454	0.8
54	-0.793252	21.142341	1.415743	0.036417	0.8
55	-0.810349	22.142341	1.382928	0.024248	0.9
56	-0.776799	23.068384	1.353867	0.045080	0.8
57	-0.811831	22.600174	1.368406	0.036168	0.8
58	-0.785297	23.600166	1.337725	0.030193	0.8
59	-0.794587	24.600166	1.308389	0.036705	0.8
60	-0.778734	25.600166	1.280312	0.034756	0.8
61	-0.754216	26.596504	1.253511	0.031520	0.8
62	-0.818229	27.595516	1.227742	0.035592	0.8
63	-0.766891	28.487689	1.205608	0.037676	0.8
64	-0.774120	29.487689	1.181729	0.032946	0.8
65	-0.790995	29.019479	1.192790	0.034899	0.8
66	-0.810683	30.019477	1.169411	0.032149	0.8
67	-0.786988	31.017083	1.146984	0.040679	0.8
68	-0.786616	32.017083	1.125349	0.037378	0.9
69	-0.768667	33.015994	1.104538	0.021994	0.9
70	-0.780115	34.012853	1.084524	0.042173	0.9
71	-0.786128	35.012830	1.065162	0.030736	0.8
72	-0.810715	36.012830	1.046479	0.024999	0.8
73	-0.772685	36.764543	1.032861	0.032131	0.8
74	-0.772161	36.296487	1.041298	0.036578	0.8
75	-0.771983	37.296487	1.023436	0.032178	0.8
76	-0.769504	36.828314	1.031722	0.028114	0.8
77	-0.749677	37.752525	1.015492	0.025752	0.8
78	-0.783866	38.624337	1.000644	0.047888	0.8
79	-0.750404	39.624337	0.984138	0.029583	0.8
80	-0.764962	40.496570	0.970180	0.042396	0.8
81	-0.785969	40.029700	0.977602	0.034207	0.8
82	-0.813917	40.833800	0.964889	0.042748	0.8
83	-0.802210	40.365590	0.972251	0.029418	0.8
84	-0.798817	41.365549	0.956662	0.029847	0.8
85	-0.755544	40.897341	0.963898	0.025963	0.8
86	-0.806024	41.897331	0.948573	0.028859	0.8
87	-0.801298	41.429179	0.955687	0.043582	0.8
88	-0.793493	42.429179	0.940620	0.034854	0.9
89	-0.795564	43.428193	0.926035	0.023338	1.0
90	-0.785663	42.960103	0.932812	0.034543	0.8
91	-0.785923	43.960101	0.918452	0.059440	0.8
92	-0.784720	43.491891	0.925120	0.026052	0.8
93	-0.755449	43.023681	0.931886	0.042347	0.8
94	-0.793210	44.023681	0.917554	0.034367	0.8
95	-0.794686	43.555473	0.924209	0.023280	0.8
96	-0.776344	44.555469	0.910111	0.018261	0.8
97	-0.770639	44.302207	0.913641	0.036281	0.8
98	-0.786199	45.302206	0.899861	0.036349	0.8
99	-0.781645	46.302206	0.886490	0.044511	0.8
100	-0.802811	45.918321	0.891576	0.022448	0.8
101	-0.765618	46.918321	0.878448	0.031573	0.8
102	-0.744431	47.723200	0.868160	0.034871	0.8
103	-0.779306	48.723185	0.855709	0.018293	0.8
104	-0.795963	48.255279	0.861490	0.031931	0.8
105	-0.827458	49.238715	0.849428	0.052203	0.8
