1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.007914	627.201626	0.041454	1179.8
1	-0.940695	623.504937	0.013413	2.7
2	-0.626789	619.865785	0.015597	2.9
3	-0.494572	616.282728	0.009973	2.7
4	-1.034816	612.754375	0.033889	2.7
5	-0.370247	609.279381	0.007370	2.4
6	-0.351820	605.856447	0.003294	2.4
7	-0.946423	602.484317	0.030215	2.4
8	-0.713318	599.161779	0.029674	2.4
9	-0.858989	595.887656	0.008277	2.9
10	-0.841297	592.660813	0.011791	3.5
11	-0.051844	589.480151	0.000973	3.1
12	-0.517592	586.344606	0.026483	2.9
13	-0.955199	583.253145	0.035808	2.6
14	-0.521072	580.204771	0.028689	2.9
15	-0.463309	577.198517	0.005224	2.9
16	-0.691161	574.233444	0.026870	2.7
17	-0.549134	571.308645	0.021372	2.7
18	-0.731481	568.423237	0.019213	2.5
19	-0.623481	565.576365	0.008989	2.4
20	-0.720671	562.767201	0.015213	2.4
21	-1.070908	559.994938	0.019770	2.9
22	-0.558557	557.258797	0.013573	2.9
23	-0.736126	554.558018	0.022987	2.7
24	-0.532615	551.891865	0.011617	2.6
25	-0.668983	549.259621	0.009063	2.4
26	-1.070723	546.660592	0.039599	2.4
27	-0.399137	544.094102	0.007283	3.5
28	-0.709487	541.559494	0.019146	2.7
29	-0.563327	539.056129	0.011634	2.7
30	-0.656191	536.583387	0.018894	2.5
31	-0.650235	534.140663	0.013880	2.4
32	-0.678617	531.727370	0.012015	2.4
33	-0.920014	529.342935	0.019198	3.1
34	-0.850446	526.986802	0.017126	3.1
35	-0.757844	524.658430	0.019483	2.7
36	-0.800669	522.357290	0.015323	2.6
37	-0.483177	520.082868	0.021471	2.5
38	-0.849968	517.834665	0.023469	2.4
39	-0.405791	515.612193	0.003600	2.4
40	-0.593477	513.414976	0.006124	4.3
41	-0.605022	511.242551	0.011791	2.9
42	-0.551061	509.094468	0.009031	2.6
43	-1.063176	506.970285	0.040679	2.5
44	-0.334104	504.869574	0.003158	2.4
45	-0.982489	502.791916	0.024038	2.9
46	-0.842940	500.736903	0.011988	3.3
47	-0.925082	498.704137	0.020371	2.8
48	-0.793137	496.693228	0.018238	2.6
49	-0.500007	494.703798	0.006676	2.4
50	-0.181673	492.735476	0.004662	2.3
51	-0.823944	490.787900	0.011618	3.2
52	-0.325402	488.860718	0.003302	2.9
53	-0.701872	486.953585	0.017765	2.6
54	-0.467591	485.066164	0.013798	2.7
55	-0.607257	483.198126	0.011308	2.4
56	-0.707522	481.349149	0.021484	2.3
57	-0.406708	479.518920	0.004246	2.9
58	-0.534710	477.707132	0.019024	2.9
59	-0.930330	475.913485	0.017477	2.7
60	-0.544121	474.137684	0.004571	2.8
61	-0.721696	472.379445	0.035951	2.6
62	-0.448681	470.638485	0.008909	2.4
63	-0.726297	468.914531	0.013043	4.3
64	-0.796256	467.207315	0.028357	2.9
65	-0.787299	465.516573	0.034050	3.3
66	-0.691106	463.842050	0.013973	2.8
67	-0.255407	462.183494	0.007004	2.5
68	-0.713886	460.540658	0.016821	5.0
69	-0.872754	458.913303	0.015792	3.0
70	-0.399602	457.301192	0.004140	3.2
71	-0.729598	455.704096	0.021811	2.7
72	-0.000809	454.121787	0.000044	2.5
73	-0.417109	452.554045	0.008259	2.5
74	-0.563272	451.000653	0.006947	2.7
75	-0.683643	449.461399	0.010593	2.5
76	-0.676622	447.936075	0.009205	2.4
77	-0.727194	446.424477	0.023367	2.5
78	-0.825412	444.926406	0.025593	2.4
79	-0.592612	443.441666	0.006784	2.4
80	-0.782862	441.970065	0.031002	2.5
81	-0.926595	440.511415	0.029080	2.5
82	-0.900233	439.065533	0.021049	2.5
83	-0.413947	437.632238	0.010434	2.4
84	-0.985557	436.211351	0.019336	2.3
85	-0.511344	434.802701	0.013678	2.3
86	-0.232133	433.406117	0.007586	2.3
87	-0.053917	432.021430	0.006026	2.4
88	-0.720776	430.648479	0.030206	2.4
89	-1.021573	429.287101	0.031240	2.4
90	-0.540224	427.937140	0.013497	2.4
91	-0.439057	426.598440	0.012532	2.4
92	-0.419759	425.270849	0.004707	2.4
93	-0.602565	423.954220	0.015848	2.4
94	-0.361785	422.648404	0.007525	2.4
95	-0.054545	421.353259	0.003698	2.5
96	-0.328859	420.068643	0.003079	2.4
97	-0.580161	418.794419	0.027626	2.4
98	-0.461056	417.530451	0.006315	2.4
99	-0.774036	416.276604	0.015556	2.4
100	-0.565919	415.032748	0.012757	2.4
101	-0.670078	413.798754	0.021939	2.4
102	-0.157388	412.574495	0.005287	2.4
103	-0.443540	411.359849	0.006292	2.4
104	-0.778757	410.154691	0.029836	2.4
105	-0.603523	408.958904	0.007807	2.4
106	-0.729667	407.772368	0.014811	2.4
107	-0.860762	406.594968	0.019867	2.4
108	-0.434408	405.426590	0.007528	2.5
109	-0.907667	404.267122	0.023133	2.5
110	-0.624893	403.116456	0.010996	2.4
111	-0.474955	401.974481	0.025357	2.4
112	-0.892805	400.841093	0.015329	2.4
113	-0.327323	399.716187	0.003238	2.4
114	-0.662480	398.599660	0.009906	2.6
115	-0.866764	397.491411	0.020422	2.8
116	-0.893413	396.391342	0.016196	4.7
117	-0.719849	395.299353	0.013606	6.1
118	-0.512535	394.215350	0.019460	2.8
119	-0.875383	393.139238	0.025596	3.1
120	-0.751279	392.070924	0.023307	2.9
121	-0.297313	391.010316	0.011341	3.1
122	-0.645158	389.957325	0.007576	2.6
123	-0.008919	388.911862	0.000579	2.4
124	-0.901962	387.873839	0.016684	2.4
125	-0.899048	386.843173	0.022860	2.4
126	-0.635614	385.819777	0.008322	2.4
127	-0.556387	384.803569	0.009294	2.3
128	-0.886401	383.794468	0.027780	2.4
129	-0.785217	382.792393	0.031923	2.3
130	-0.414232	381.797264	0.009441	2.3
131	-0.564087	380.809005	0.010873	2.3
132	-0.479533	379.827537	0.008935	2.4
133	-0.821297	378.852786	0.014252	2.4
134	-0.938167	377.884678	0.021759	2.3
135	-0.536919	376.923138	0.014857	2.4
136	-0.532669	375.968095	0.008897	2.3
137	-0.829575	375.019479	0.012092	2.3
138	-0.887442	374.077218	0.028645	2.4
139	-0.710389	373.141244	0.011792	2.4
140	-0.826375	372.211489	0.032275	2.4
141	-0.694052	371.287887	0.019095	2.4
142	-0.771136	370.370370	0.018377	2.4
143	-0.720467	369.458876	0.007844	3.2
